battlan2;;
battlan3;;
battlane;Battle Lane! Vol. 5 (set 1) (1986);5.67
battlcry;Battlecry (1991);5.14
battleg;;
battlega;;
battlegb;;
battlera;Battle Rangers (World) (1988);6.67
battles;Battles (1982);7.28362573099
battlex;Battle Cross (1982);5.14
battlntj;;
battlnts;Battlantis (program code G) (1987);8.67
battroad;The Battle-Road (1984);0.00
batugnsp;;
batwings;;
bayrouta;;
bayroute;Bay Route (set 3, World, FD1094 317-0116) (1989);7.80
bayrtbl1;;
bayrtbl2;;
bbakradu;;
bbakraid;Battle Bakraid - Unlimited Version (USA) (Tue Jun 8 1999) (1999);8.94
bballs;Bouncing Balls (1991);10.00
bbbxing;Best Bout Boxing (1994);5.50
bbmanw;Bomber Man World / New Dyna Blaster - Global Quest (1992);7.36
bbmanwj;Bomber Man World (Japan) (1992);7.35849056605
bbonk;Bigfoot Bonkers (1976);3.00
bbprot;unknown fighting game 'BB' (prototype) (1969);4.50
bbros;Buster Bros. (US) (1989);9.17596566517
bbusters;Beast Busters (World) (1989);7.33
bchopper;Battle Chopper (1987);7.43
bcrusher;Bone Crusher (1985);5.88888888888
bcruzm12;Battle Cruiser M-12 (1983);4.83
bcstry;B.C. Story (set 1) (1997);7.47
beaminv;Beam Invader (1979);0.00
beastf;Beastie Feastie (1984);7.57407407407
beastrzb;Beastorizer (USA bootleg) (1997);4.77
beastrzr;Beastorizer (USA) (1997);5.05
beathead;BeatHead (prototype) (1993);9.33
beezer;Beezer (set 1) (1982);2.00
beezer1;Beezer (set 2) (1982);2
benberob;Ben Bero Beh (Japan) (1984);7.50
berabohm;Beraboh Man (Japan version C) (1988);6.00
beraboho;;
berlwall;The Berlin Wall (1991);5.75
berlwalt;;
bermudaa;;
bermudao;;
bermudat;Bermuda Triangle (World?) (1987);0.00
berzerk;Berzerk (set 1) (1980);9.89
berzerk1;Berzerk (set 2) (1980);9.89408777659
bigbang;Big Bang (9th Nov. 1993) (1993);8.57142857143
bigbucks;Big Bucks (1986);3.00
bigevglf;Big Event Golf (US) (1986);0.00
bigkarnk;Big Karnak (1991);6.14
bigprowr;The Big Pro Wrestling! (1983);5.50
bigrun;Big Run (11th Rallye version) (1989);6.80
bigstrik;Big Striker (1992);6.65
bigstrkb;Big Striker (bootleg) (1992);6.64615384614
bigtwin;Big Twin (1995);8.00
bijokkog;Bijokko Gakuen (Japan 880116) (1988);0.00
bijokkoy;Bijokko Yume Monogatari (Japan 870925) (1987);10.00
billiard;The Billiards (Video Hustler bootleg) (1981);4.64285714286
bioatack;Bio Attack (1983);7.40
biofreak;BioFreaks (prototype) (1997);3.17
biomtoy;Biomechanical Toy (Ver. 1.0.1885) (1995);6.94
bionicc;Bionic Commando (Euro) (1987);8.90
bionicc2;Bionic Commando (US set 2) (1987);8.90476190471
bioship;Bio-ship Paladin (1990);6.00
birdtry;Birdie Try (Japan) (1988);8.44
bishi;Bishi Bashi Championship Mini Game Senshuken (ver JAA, 3 Players) (1996);7.00
bjourney;Blue's Journey / Raguy (ALM-001)(ALH-001) (1990);8.56
bjtwin;Bombjack Twin (set 1) (1993);7.92
bking;Birdie King (1982);7.40
bking2;Birdie King 2 (1983);8.40
bking3;Birdie King 3 (1984);7.50
bkrtmaq;Bakuretsu Quiz Ma-Q Dai Bouken (Japan) (1992);0.00
bktigerb;;
bladestl;Blades of Steel (version T) (1987);5.97
bladstle;;
blandia;Blandia (1992);9.40
blandiap;Blandia (prototype) (1992);9.4
blasted;Blasted (1988);6.50
blaster;Blaster (1983);3.75
blastkit;;
blasto;Blasto (1978);7.06
blastoff;Blast Off (Japan) (1989);7.00
blazeon;Blaze On (Japan) (1992);8.43
blazer;Blazer (Japan) (1987);8.50
blazstar;Blazing Star (1998);9.42
blckgalb;;
blckout2;;
blckoutj;;
bldwolf;Bloody Wolf (US) (1988);6.66666666667
blitz;NFL Blitz (boot ROM 1.2) (1997);8.85
blitz2k;NFL Blitz 2000 Gold Edition (1999);9.04
blitz99;NFL Blitz '99 (1998);8.89
blkbustr;BlockBuster (1983);5.5
blkdrgnb;;
blkdrgon;Black Dragon (Japan) (1987);9.40782122909
blkhearj;;
blkheart;Black Heart (1991);7.50
blkhole;Black Hole (1981);4.27
blkpnthr;Black Panther (1987);10.00
blktiger;Black Tiger (1987);9.41
blmbycar;Blomby Car (1994);4.91
blmbycau;;
block;Block Block (World 910910) (1991);5.80
blocka;;
blockade;Blockade (1976);5.40
blockbl;Block Block (bootleg) (1991);5.8
blockcar;Block Carnival / Thunder & Lightning 2 (1992);6.10
blocken;Blocken (Japan) (1994);7.62
blockgal;Block Gal (MC-8123B, 317-0029) (1987);10.00
blockhl;Block Hole (1989);8.38
blockj;Block Block (Japan 910910) (1991);5.8
blockout;Block Out (set 1) (1989);7.95
bloodbro;Blood Bros. (set 1) (1990);6.80
bloods11;;
bloods21;;
bloods22;;
bloodstm;Blood Storm (v2.22) (1994);5.77
bloodwar;Blood Warrior (1994);3.07
bloxeed;Bloxeed (Japan, FD1094 317-0139) (1989);8.50
bloxeedc;Bloxeed (World, C System) (1989);8.5
blsthead;;
blstroi2;;
blstroi3;;
blstroid;Blasteroids (rev 4) (1987);7.20
blstroig;;
blswhstl;Bells & Whistles (Version L) (1991);7.25
bluehawk;Blue Hawk (1993);6.75
bluehawn;;
blueprnj;;
blueprnt;Blue Print (Midway) (1982);5.50
blueshrk;Blue Shark (1978);5.50
blzntrnd;Blazing Tornado (1994);5.54
bm1stmix;beatmania (ver JA-B) (1997);5.77
bm2ndmix;beatmania 2nd MIX (ver JA-B) (1998);6.00
bm2ndmxa;beatmania 2nd MIX (ver JA-A) (1998);6
bm4thmix;beatmania 4th MIX (ver JA-A) (1999);3.90
bmaster;Blade Master (World) (1991);7.67
bmcompmx;beatmania complete MIX (ver JA-B) (1999);6.40
bmcorerm;beatmania CORE REMIX (ver JA-A) (2000);0.00
bmdct;beatmania featuring Dreams Come True (ver JA-A) (2000);5.00
bnglngby;Vs. Raid on Bungeling Bay (RD4-2 B) (1985);3.20
bnj;Bump 'n' Jump (1982);5.68548387097
bnzabros;Bonanza Bros (US, Floppy DS3-5000-07d? Based) (1990);7.78
boblbobl;Bobble Bobble (1986);9.37755271452
bodyslam;Body Slam (8751 317-0015) (1986);8.78
bogeyman;Bogey Manor (1985);2.20
boggy84;Boggy '84 (1983);0.00
bombbee;Bomb Bee (1979);6.40
bombjac2;;
bombjack;Bomb Jack (set 1) (1984);8.17
bombrman;Bomber Man (Japan) (1991);8.77391304347
bonkadv;B.C. Kid / Bonk's Adventure / Kyukyoku!! PC Genjin (1994);8.75
bonzeadu;;
bonzeadv;Bonze Adventure (World, Newer) (1988);7.88
